ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	1	141	+	4.4	Prodigal_v2.6.3	Ec_P2_NC_001895
1_2	187	1221	-	133.4	Prodigal_v2.6.3	Ec_P2_NC_001895
1_3	1221	2993	-	252.0	Prodigal_v2.6.3	Ec_P2_NC_001895
1_4	3167	4021	+	136.8	Prodigal_v2.6.3	Ec_P2_NC_001895
1_5	4080	5153	+	176.7	Prodigal_v2.6.3	Ec_P2_NC_001895
1_6	5157	5900	+	109.5	Prodigal_v2.6.3	Ec_P2_NC_001895
1_7	6000	6509	+	68.5	Prodigal_v2.6.3	Ec_P2_NC_001895
1_8	6509	6712	+	12.7	Prodigal_v2.6.3	Ec_P2_NC_001895
1_9	6716	6997	+	40.9	Prodigal_v2.6.3	Ec_P2_NC_001895
1_10	6997	7494	+	46.5	Prodigal_v2.6.3	Ec_P2_NC_001895
1_11	7509	7934	+	57.7	Prodigal_v2.6.3	Ec_P2_NC_001895
1_12	7922	8347	+	50.6	Prodigal_v2.6.3	Ec_P2_NC_001895
1_13	8334	8492	+	5.6	Prodigal_v2.6.3	Ec_P2_NC_001895
1_14	8455	8922	+	75.2	Prodigal_v2.6.3	Ec_P2_NC_001895
1_15	8915	9367	+	44.9	Prodigal_v2.6.3	Ec_P2_NC_001895
1_16	9439	10224	-	40.8	Prodigal_v2.6.3	Ec_P2_NC_001895
1_17	10308	10943	+	59.7	Prodigal_v2.6.3	Ec_P2_NC_001895
1_18	10940	11287	+	41.1	Prodigal_v2.6.3	Ec_P2_NC_001895
1_19	11292	12200	+	115.3	Prodigal_v2.6.3	Ec_P2_NC_001895
1_20	12193	12723	+	65.8	Prodigal_v2.6.3	Ec_P2_NC_001895
1_21	12734	14743	+	177.1	Prodigal_v2.6.3	Ec_P2_NC_001895
1_22	14747	15274	+	44.8	Prodigal_v2.6.3	Ec_P2_NC_001895
1_23	15675	17261	-	50.6	Prodigal_v2.6.3	Ec_P2_NC_001895
1_24	17652	18842	+	182.5	Prodigal_v2.6.3	Ec_P2_NC_001895
1_25	18855	19373	+	90.9	Prodigal_v2.6.3	Ec_P2_NC_001895
1_26	19430	19705	+	43.9	Prodigal_v2.6.3	Ec_P2_NC_001895
1_27	19850	22297	+	310.8	Prodigal_v2.6.3	Ec_P2_NC_001895
1_28	22312	22791	+	62.9	Prodigal_v2.6.3	Ec_P2_NC_001895
1_29	22791	23954	+	136.9	Prodigal_v2.6.3	Ec_P2_NC_001895
1_30	24036	24254	+	1.7	Prodigal_v2.6.3	Ec_P2_NC_001895
1_31	24462	25475	-	53.1	Prodigal_v2.6.3	Ec_P2_NC_001895
1_32	25591	25890	-	4.4	Prodigal_v2.6.3	Ec_P2_NC_001895
1_33	26005	26280	+	30.2	Prodigal_v2.6.3	Ec_P2_NC_001895
1_34	26291	26461	+	12.3	Prodigal_v2.6.3	Ec_P2_NC_001895
1_35	26458	26958	+	46.0	Prodigal_v2.6.3	Ec_P2_NC_001895
1_36	27022	27246	+	22.6	Prodigal_v2.6.3	Ec_P2_NC_001895
1_37	27246	27548	+	37.1	Prodigal_v2.6.3	Ec_P2_NC_001895
1_38	27548	27772	+	16.7	Prodigal_v2.6.3	Ec_P2_NC_001895
1_39	27769	28044	+	38.4	Prodigal_v2.6.3	Ec_P2_NC_001895
